nn(色彩-2, 屏幕-1)
nsubj(导致-9, 信号-7)
mmod(导致-9, 不行-8)
conj(给力-3, 导致-9)
dobj(导致-9, 手机-10)
advmod(发射-16, 老-11)
case(功率-15, 用-12)
advmod(大-14, 最-13)
amod(功率-15, 大-14)
prep(发射-16, 功率-15)
dep(导致-9, 发射-16)
dobj(发射-16, 信号-17)
dep(发射-16, 耗电-19)
nummod(利害-23, 很多-20)
advmod(辐射-22, 又-21)
amod(利害-23, 辐射-22)
dobj(耗电-19, 利害-23)

amod(设计-2, 特殊-1)
nsubj(使-3, 设计-2)
root(ROOT-0, 使-3)
conj(周边-6, 显示屏-4)
cc(周边-6, 与-5)
dobj(使-3, 周边-6)
dep(使-3, 有-7)
dobj(有-7, 缝隙-8)
det(显示屏-11, 整个-10)
nsubj(键-18, 显示屏-11)
case(确认-17, 由-12)
nn(中央-14, 屏-13)
assmod(确认-17, 中央-14)
case(中央-14, 的-15)
nummod(确认-17, 一个-16)
prep(键-18, 确认-17)
conj(使-3, 键-18)
dobj(键-18, 支撑-19)
advmod(晃动-22, 容易-21)
dep(键-18, 晃动-22)
advmod(坏-26, 所以-24)
advmod(坏-26, 容易-25)
dep(键-18, 坏-26)

advmod(会-2, 时不时-1)
root(ROOT-0, 会-2)
nummod(重-4, 白屏-3)
clf(启-5, 重-4)
dobj(会-2, 启-5)
nsubj(一般-8, 待机-7)
conj(会-2, 一般-8)
advmod(囿于-14, 当然-10)
nsubj(囿于-14, 这-11)
advmod(囿于-14, 也-12)
conj(囿于-14, 是-13)
cop(囿于-14, 是-13)
conj(会-2, 囿于-14)
dobj(囿于-14, 大屏-15)
advmod(值得-18, 非常-17)
conj(会-2, 值得-18)
relcl(触控机-23, 购买-19)
mark(购买-19, 的-20)
nn(触控机-23, 塞班-21)
nn(触控机-23, 智能-22)
dobj(值得-18, 触控机-23)

case(棒棒糖-2, 由于-1)
assmod(屏幕-4, 棒棒糖-2)
case(棒棒糖-2, 的-3)
nsubj(大-6, 屏幕-4)
advmod(大-6, 太-5)
root(ROOT-0, 大-6)
advmod(有-10, 很-8)
advmod(有-10, 少-9)
conj(大-6, 有-10)
nn(棒棒糖-12, 支持-11)
assmod(软件-15, 棒棒糖-12)
case(棒棒糖-12, 的-13)
nn(软件-15, Java-14)
dobj(有-10, 软件-15)
nn(音乐-18, QQ-17)
nsubj(如此-22, 音乐-18)
nsubj(如此-22, 2010-19)
advmod(如此-22, 就-20)
cop(如此-22, 是-21)
conj(大-6, 如此-22)
case(运行-25, 当-24)
prep(会-30, 运行-25)
det(软件-27, 此-26)
dobj(运行-25, 软件-27)
case(运行-25, 时-28)
conj(大-6, 会-30)
dobj(会-30, 黑屏-31)
advmod(安装-36, 所以-33)
advmod(安装-36, 不要-34)
advmod(安装-36, 乱-35)
conj(会-30, 安装-36)
neg(适合-38, 不-37)
relcl(软件-41, 适合-38)
dobj(适合-38, 棒棒糖-39)
mark(适合-38, 的-40)
dobj(安装-36, 软件-41)

nsubj(老生常谈-4, 屏幕-1)
advmod(老生常谈-4, 就-2)
cop(老生常谈-4, 是-3)
dep(触摸-17, 老生常谈-4)
dep(老生常谈-4, 了-5)
advmod(触摸-17, 同-7)
case(电容屏-9, 为-8)
prep(触摸-17, 电容屏-9)
case(TFT-13, 由于-11)
conj(TFT-13, 是-12)
cop(TFT-13, 是-12)
prep(触摸-17, TFT-13)
dobj(TFT-13, 材质-14)
mark(TFT-13, 的-15)
root(ROOT-0, 触摸-17)
nn(不好-19, 手感-18)
dobj(触摸-17, 不好-19)
conj(触摸-17, 感觉-21)
advmod(生硬-23, 比较-22)
ccomp(感觉-21, 生硬-23)
case(屏幕-29, 跟-25)
nn(dz-27, htc-26)
assmod(屏幕-29, dz-27)
case(dz-27, 的-28)
prep(起来-31, 屏幕-29)
mmod(起来-31, 触摸-30)
conj(触摸-17, 起来-31)
advmod(感觉-37, 完全-33)
cop(感觉-37, 是-34)
nummod(种-36, 两-35)
clf(感觉-37, 种-36)
conj(触摸-17, 感觉-37)

xsubj(软件-15, 摄像头-1)
nsubj(换-26, 摄像头-1)
nummod(像素-3, 800-2)
nsubj(假-5, 像素-3)
neg(假-5, 不-4)
dep(换-26, 假-5)
advmod(模糊-9, 如果-7)
nsubj(模糊-9, 照相-8)
dep(软件-15, 模糊-9)
advmod(软件-15, 一般-11)
advmod(软件-15, 都-12)
cop(软件-15, 是-13)
nn(软件-15, 照相-14)
conj(换-26, 软件-15)
dep(软件-15, 取景-17)
nn(光线-19, 地-18)
nsubj(强-21, 光线-19)
neg(强-21, 不-20)
relcl(原因-23, 强-21)
mark(强-21, 的-22)
dobj(取景-17, 原因-23)
mmod(换-26, 可以-25)
root(ROOT-0, 换-26)
nummod(软件-29, 一个-27)
nn(软件-29, 照相-28)
dobj(换-26, 软件-29)
dep(换-26, 解决-30)
det(问题-33, 这-31)
dep(这-31, 一-32)
dobj(解决-30, 问题-33)

case(没有-3, 因为-1)
nsubj(没有-3, 手机-2)
prep(置-5, 没有-3)
case(没有-3, 前-4)
relcl(摄像头-6, 置-5)
nsubj(没有-8, 摄像头-6)
advmod(没有-8, 也-7)
root(ROOT-0, 没有-8)
nn(灯-10, led-9)
nn(照相-14, 灯-10)
det(照相-14, 这-11)
clf(这-11, 点-12)
nn(照相-14, 晚上-13)
nsubj(方便-16, 照相-14)
neg(方便-16, 不-15)
dep(没有-8, 方便-16)
advmod(可以-25, 总的来说-18)
advmod(照相-22, 如果-19)
dep(照相-22, 不-20)
advmod(照相-22, 经常-21)
nsubj(可以-25, 照相-22)
dep(可以-25, 的-23)
advmod(可以-25, 还是-24)
conj(没有-8, 可以-25)
range(可以-25, 滴-26)

advmod(高-3, 还是-1)
advmod(高-3, 很-2)
relcl(照相-5, 高-3)
mark(高-3, 的-4)
nsubj(是-12, 照相-5)
dep(是-12, 满分-7)
nsubj(是-12, 这里-9)
case(满分-11, 给-10)
prep(是-12, 满分-11)
root(ROOT-0, 是-12)
case(镜头-32, 因为-13)
relcl(镜头-32, 像素-14)
range(像素-14, 1200W-15)
nsubj(传感器-23, 索尼-17)
cop(传感器-23, 是-18)
nn(传感器-23, 相机-19)
conj(传感器-23, 专业户-20)
nn(传感器-23, 背照式-22)
conj(像素-14, 传感器-23)
nummod(用-26, 4S-25)
nsubj(索尼-30, 用-26)
mark(用-26, 的-27)
advmod(索尼-30, 也-28)
cop(索尼-30, 是-29)
conj(像素-14, 索尼-30)
mark(像素-14, 的-31)
prep(是-12, 镜头-32)

nsubj(有-3, 扬声器-1)
advmod(有-3, 只-2)
root(ROOT-0, 有-3)
dep(有-3, 一个-4)
advmod(放-7, 所以-6)
dep(小-11, 放-7)
nn(时音量-9, 音乐-8)
dobj(放-7, 时音量-9)
advmod(小-11, 较-10)
conj(有-3, 小-11)
nsubj(一般-14, 音质-13)
conj(有-3, 一般-14)

case(麦克风-2, 由于-1)
prep(麦克风-7, 麦克风-2)
cop(麦克风-7, 是-3)
advmod(优质-5, 十分-4)
assmod(麦克风-7, 优质-5)
case(优质-5, 的-6)
root(ROOT-0, 麦克风-7)
advmod(好-14, 所以-9)
nsubj(好-14, 录音-10)
advmod(好-14, 十分-11)
advmod(好-14, 十分-12)
advmod(好-14, 十分-13)
conj(麦克风-7, 好-14)
assmod(音质-18, 通话-16)
case(通话-16, 的-17)
nsubj(棒-23, 音质-18)
advmod(棒-23, 也-19)
advmod(棒-23, 十分-20)
advmod(棒-23, 十分-21)
advmod(棒-23, 十分-22)
conj(麦克风-7, 棒-23)
cc(对比-30, 和-25)
assmod(效果-29, 诺基亚-26)
case(诺基亚-26, 的-27)
nn(效果-29, 通话-28)
nsubj(对比-30, 效果-29)
conj(麦克风-7, 对比-30)
asp(对比-30, 过-31)
cc(对比-30, 还是-33)
dep(优秀-38, 三星-34)
case(三星-34, 的-35)
advmod(优秀-38, 十分-36)
advmod(优秀-38, 十分-37)
conj(对比-30, 优秀-38)

relcl(设置-3, 人性化-1)
mark(人性化-1, 的-2)
nsubj(使得-5, 设置-3)
xsubj(体验-6, 设置-3)
advmod(使得-5, 确实-4)
root(ROOT-0, 使得-5)
ccomp(使得-5, 体验-6)
dobj(体验-6, 方面-7)
conj(体验-6, 好-8)
asp(好-8, 了-9)
dep(好-8, 很多-10)
nsubj(说-15, 配置-12)
advmod(说-15, 高-13)
advmod(说-15, 不用-14)
conj(使得-5, 说-15)
advmod(感觉-26, 其实-17)
neg(那种-20, 不-18)
mmod(那种-20, 玩-19)
relcl(话-24, 那种-20)
amod(游戏-22, 超大-21)
dobj(那种-20, 游戏-22)
mark(那种-20, 的-23)
nsubj(感觉-26, 话-24)
xsubj(出-28, 话-24)
advmod(感觉-26, 也-25)
conj(使得-5, 感觉-26)
neg(出-28, 不-27)
ccomp(感觉-26, 出-28)
dobj(出-28, 差异-29)

root(ROOT-0, 升级-1)
asp(升级-1, 了-2)
loc(多-8, 4.12-3)
case(4.12-3, 后-4)
loc(多-8, 拍摄-6)
case(拍摄-6, 时-7)
relcl(原因-14, 多-8)
asp(多-8, 了-9)
nummod(低光灯-12, 一个-10)
nn(低光灯-12, 功能-11)
dobj(多-8, 低光灯-12)
mark(多-8, 的-13)
dobj(升级-1, 原因-14)
case(不好-18, 在-16)
nn(不好-18, 光线-17)
assmod(时候-20, 不好-18)
case(不好-18, 的-19)
nsubj(拍摄-23, 时候-20)
case(它-22, 用-21)
prep(拍摄-23, 它-22)
conj(升级-1, 拍摄-23)
conj(噪点-27, 进光-25)
cc(噪点-27, 和-26)
nsubj(少-28, 噪点-27)
conj(升级-1, 少-28)
asp(少-28, 了-29)
dep(少-28, 很多-30)
case(舒服-35, 用-32)
mmod(舒服-35, 起来-33)
advmod(舒服-35, 很-34)
prep(强大-37, 舒服-35)
advmod(强大-37, 非常-36)
conj(升级-1, 强大-37)

amod(容量-2, 大-1)
nsubj(更换-4, 容量-2)
advmod(更换-4, 可-3)
root(ROOT-0, 更换-4)
dobj(更换-4, 电池-5)
advmod(有-21, 但-7)
nn(时间-9, 续航-8)
nsubj(有-21, 时间-9)
case(处理器-16, 因为-10)
amod(屏幕-12, 大-11)
conj(处理器-16, 屏幕-12)
cc(处理器-16, 和-13)
nummod(处理器-16, 4-14)
nn(处理器-16, 核-15)
prep(有-21, 处理器-16)
advmod(有-21, 可能-18)
neg(有-21, 不-19)
mmod(有-21, 会-20)
conj(更换-4, 有-21)
nummod(提升-23, 多少-22)
dobj(有-21, 提升-23)

case(背后-2, 因为-1)
assmod(材质-4, 背后-2)
case(背后-2, 的-3)
nsubj(看-10, 材质-4)
xsubj(够-14, 材质-4)
advmod(看-10, 很-5)
case(塑料-7, 像-6)
prep(看-10, 塑料-7)
advmod(看-10, 所以-9)
root(ROOT-0, 看-10)
mmod(够-14, 起来-11)
advmod(够-14, 完全-12)
neg(够-14, 不-13)
ccomp(看-10, 够-14)
dobj(够-14, 档次-15)

root(ROOT-0, 待-1)
nsubj(缺点-5, 机短-2)
cop(缺点-5, 是-3)
amod(缺点-5, 致命-4)
ccomp(待-1, 缺点-5)
advmod(原因-12, 可能-7)
cop(原因-12, 是-8)
nsubj(大-10, 屏幕-9)
relcl(原因-12, 大-10)
mark(大-10, 的-11)
conj(待-1, 原因-12)
advmod(没-18, 一-14)
dep(50%-16, 早上-15)
nsubj(没-18, 50%-16)
advmod(没-18, 就-17)
conj(待-1, 没-18)
asp(没-18, 了-19)
nsubj(费-24, 充电-21)
advmod(费-24, 又-22)
advmod(费-24, 很-23)
conj(待-1, 费-24)
dobj(费-24, 时间-25)

nsubj(兼容性-2, CPU-1)
root(ROOT-0, 兼容性-2)
dobj(兼容性-2, 不好-3)
nummod(字库-6, i9300-5)
nsubj(导致-10, 字库-6)
advmod(导致-10, 极-7)
advmod(导致-10, 易-8)
mmod(导致-10, 损坏-9)
conj(兼容性-2, 导致-10)
dobj(导致-10, 机器-11)
neg(开机-13, 不-12)
dep(导致-10, 开机-13)
conj(导致-10, 断电-15)
conj(导致-10, 死机-17)
nsubj(导致-22, 扣电板-19)
advmod(导致-22, 都-20)
mmod(导致-22, 会-21)
conj(兼容性-2, 导致-22)
dobj(导致-22, 字库-23)
mmod(开机-26, 损坏-24)
neg(开机-26, 不-25)
dep(导致-22, 开机-26)
nsubj(收到-30, 我们-28)
advmod(收到-30, 已经-29)
conj(兼容性-2, 收到-30)
nsubj(多-35, 这种-31)
loc(多-35, 售-32)
case(售-32, 后-33)
dep(多-35, N-34)
dep(收到-30, 多-35)
dep(多-35, 了-36)

nsubj(认为-2, 个人-1)
root(ROOT-0, 认为-2)
nsubj(脆-4, 屏幕-3)
ccomp(认为-2, 脆-4)
conj(脆-4, 易碎-6)
dobj(易碎-6, 现象-7)
conj(脆-4, 可能-9)
cop(泛滥-13, 是-10)
case(翻新机-12, 因为-11)
prep(泛滥-13, 翻新机-12)
relcl(原因-15, 泛滥-13)
mark(泛滥-13, 的-14)
dobj(可能-9, 原因-15)
amod(屏幕-18, 廉价-17)
dep(致-20, 屏幕-18)
prtmod(致-20, 所-19)
conj(脆-4, 致-20)

nn(贴膜-2, 背部-1)
nsubj(紧贴-4, 贴膜-2)
advmod(紧贴-4, 无法-3)
root(ROOT-0, 紧贴-4)
nsubj(处-11, 原因-6)
cop(处-11, 是-7)
amod(处-11, 铝制-8)
nn(处-11, 苹果-9)
nn(处-11, 商标-10)
conj(紧贴-4, 处-11)
conj(处-11, 有-12)
assmod(凸起-15, 轻微-13)
case(轻微-13, 的-14)
dobj(有-12, 凸起-15)

dep(成熟-12, 长-1)
asp(长-1, 了-2)
advmod(长-1, 也-3)
dep(长-1, 薄-4)
dep(长-1, 了-5)
advmod(成熟-12, 而且-7)
nn(技术-10, 金属-8)
nn(技术-10, 后壳-9)
nsubj(成熟-12, 技术-10)
neg(成熟-12, 不-11)
root(ROOT-0, 成熟-12)
advmod(会-20, 所以-14)
case(沙发-16, 在-15)
prep(会-20, 沙发-16)
case(沙发-16, 上-17)
advmod(会-20, 一不小心-18)
advmod(会-20, 就-19)
dep(成熟-12, 会-20)
dobj(会-20, 坐-21)
dobj(坐-21, 弯-22)
mark(坐-21, 的-23)

neg(支持-2, 不-1)
conj(格式-18, 支持-2)
dobj(支持-2, flash-3)
mmod(看-6, 上网-5)
dep(支持-2, 看-6)
clf(视频-8, 个-7)
dobj(看-6, 视频-8)
dep(格式-18, 十有八九-9)
dep(格式-18, 看-10)
neg(看-10, 不-11)
dep(看-10, 了-12)
dep(格式-18, 因为-14)
dep(格式-18, 大多数-15)
cop(格式-18, 是-16)
nn(格式-18, flash-17)
root(ROOT-0, 格式-18)

advmod(方便-34, 之前-1)
advmod(用-3, 一直-2)
relcl(机器人-5, 用-3)
mark(用-3, 的-4)
nsubj(方便-34, 机器人-5)
det(流畅性-19, 这-7)
clf(这-7, 次-8)
cop(用-12, 是-9)
ordmod(次-11, 第一-10)
dep(用-12, 次-11)
relcl(流畅性-19, 用-12)
dobj(用-12, 苹果-13)
conj(用-12, 感觉-15)
nn(系统-17, iOS-16)
dobj(感觉-15, 系统-17)
mark(用-12, 的-18)
nsubj(Android-21, 流畅性-19)
conj(Android-21, 是-20)
cop(Android-21, 是-20)
dep(方便-34, Android-21)
dobj(Android-21, 比不了-22)
dep(Android-21, 的-23)
advmod(方便-34, 当然-25)
case(封闭性-29, 因为-26)
assmod(封闭性-29, 它-27)
case(它-27, 的-28)
prep(方便-34, 封闭性-29)
case(没有-32, 用-30)
mmod(没有-32, 起来-31)
prep(方便-34, 没有-32)
dobj(没有-32, 机器人-33)
root(ROOT-0, 方便-34)

amod(版-2, 黑色-1)
nn(机身-3, 版-2)
nn(颜色-4, 机身-3)
nsubj(掉-6, 颜色-4)
advmod(掉-6, 容易-5)
root(ROOT-0, 掉-6)
case(问题-12, 因为-8)
cop(材质-10, 是-9)
relcl(问题-12, 材质-10)
mark(材质-10, 的-11)
prep(掉-6, 问题-12)

advmod(好-15, 这次-1)
case(加强-6, 因为-2)
nn(音质-5, earpods-3)
nn(音质-5, 耳机-4)
nsubj(加强-6, 音质-5)
prep(好-15, 加强-6)
asp(加强-6, 了-7)
dobj(加强-6, 低音-8)
case(以前-11, 比-10)
prep(龌龊-12, 以前-11)
relcl(小白-14, 龌龊-12)
mark(龌龊-12, 的-13)
nsubj(好-15, 小白-14)
root(ROOT-0, 好-15)
comod(好-15, 多-16)
dep(好-15, 了-17)

nn(屏幕-2, 手机-1)
nsubj(加长-3, 屏幕-2)
relcl(原因-5, 加长-3)
mark(加长-3, 的-4)
nsubj(看-19, 原因-5)
xsubj(习惯-23, 原因-5)
loc(看-19, 微博-7)
case(微博-7, 里-8)
nn(竖-10, 拍照-9)
nsubj(看-19, 竖-10)
xsubj(习惯-23, 竖-10)
case(拍-12, 向-11)
prep(看-19, 拍-12)
dobj(拍-12, 图片-13)
cc(拍-12, 加-14)
conj(拍-12, 长-15)
asp(长-15, 了-16)
dobj(长-15, 点-17)
root(ROOT-0, 看-19)
mmod(习惯-23, 起来-20)
neg(习惯-23, 不-21)
advmod(习惯-23, 太-22)
ccomp(看-19, 习惯-23)
amod(拍-26, 横向-25)
nsubj(觉得-29, 拍-26)
advmod(觉得-29, 还-27)
neg(觉得-29, 没-28)
conj(看-19, 觉得-29)
dobj(觉得-29, 什么-30)

assmod(封闭性-3, ios-1)
case(ios-1, 的-2)
nsubj(使得-5, 封闭性-3)
advmod(使得-5, 确实-4)
root(ROOT-0, 使得-5)
nn(质量-7, 软件-6)
nsubj(高-9, 质量-7)
advmod(高-9, 很-8)
ccomp(使得-5, 高-9)
nsubj(不错-14, 体验-11)
advmod(不错-14, 真的-12)
advmod(不错-14, 很-13)
conj(使得-5, 不错-14)
advmod(方便-36, 就-16)
case(玩-18, 拿-17)
prep(方便-36, 玩-18)
dobj(玩-18, 游戏-19)
case(玩-18, 来说-20)
case(多-26, 因为-22)
nn(机型-24, 苹果-23)
nsubj(多-26, 机型-24)
neg(多-26, 不-25)
prep(方便-36, 多-26)
nsubj(好-30, 兼容性-28)
advmod(好-30, 很-29)
dep(多-26, 好-30)
dep(好-30, 啊-31)
nsubj(方便-36, 真-33)
mark(真-33, 的-34)
advmod(方便-36, 相当-35)
conj(使得-5, 方便-36)

advmod(没有-9, 还是-1)
nn(问题-3, 相机-2)
nsubj(没有-9, 问题-3)
case(机子-8, 因为-5)
det(机子-8, 这-6)
clf(这-6, 款-7)
prep(没有-9, 机子-8)
root(ROOT-0, 没有-9)
amod(对焦-11, 自动-10)
dobj(没有-9, 对焦-11)
dep(没有-9, 拍-13)
dobj(拍-13, 近景-14)
advmod(朦朦胧胧-16, 就是-15)
assmod(片-19, 朦朦胧胧-16)
case(朦朦胧胧-16, 的-17)
nummod(片-19, 一-18)
range(拍-13, 片-19)
advmod(显示-25, 况且-21)
case(手机-23, 在-22)
prep(显示-25, 手机-23)
case(手机-23, 上-24)
conj(没有-9, 显示-25)
asp(显示-25, 着-26)
advmod(蛮亮-28, 还是-27)
assmod(照片-30, 蛮亮-28)
case(蛮亮-28, 的-29)
dobj(显示-25, 照片-30)
case(电脑-33, 到-32)
prep(暗-39, 电脑-33)
mmod(暗-39, 上来-34)
advmod(暗-39, 就-35)
advmod(暗-39, 很-36)
advmod(暗-39, 暗-37)
advmod(暗-39, 很-38)
conj(没有-9, 暗-39)

neg(移动-3, 不-1)
mmod(移动-3, 支持-2)
root(ROOT-0, 移动-3)
nummod(网络-5, 3G-4)
dobj(移动-3, 网络-5)
advmod(到-15, 所以-7)
advmod(联网-9, 有时-8)
loc(到-15, 联网-9)
dobj(联网-9, 状态-10)
case(联网-9, 时-11)
dep(接-13, 会-12)
dep(到-15, 接-13)
neg(到-15, 不-14)
dep(移动-3, 到-15)
dobj(到-15, 电话-16)

case(原因-4, 由于-1)
assmod(原因-4, 基带-2)
case(基带-2, 的-3)
prep(会-17, 原因-4)
dep(015-8, 国行-6)
dep(015-8, 大部分-7)
assmod(用户-10, 015-8)
case(015-8, 的-9)
nsubj(会-17, 用户-10)
case(时候-16, 在-11)
relcl(时候-16, 装入-12)
nn(电话卡-14, 移动-13)
dobj(装入-12, 电话卡-14)
mark(装入-12, 的-15)
prep(会-17, 时候-16)
root(ROOT-0, 会-17)
dobj(会-17, 死机-18)
dep(会-17, 解决-20)
dobj(解决-20, 方法-21)
dep(会-17, 嘛-22)
advmod(升级-29, 就-24)
cop(升级-29, 是-25)
advmod(升级-29, 直接-26)
case(它-28, 给-27)
prep(升级-29, 它-28)
conj(会-17, 升级-29)

nn(音量-2, 手机-1)
nsubj(好-4, 音量-2)
advmod(好-4, 真的-3)
root(ROOT-0, 好-4)
comod(好-4, 小-5)
advmod(接-9, 经常-7)
mmod(接-9, 漏-8)
conj(好-4, 接-9)
dobj(接-9, 电话-10)
nsubj(用-19, 震动-12)
dep(用-19, 开-13)
asp(用-19, 了-14)
advmod(用-19, 也-15)
neg(用-19, 不-16)
advmod(用-19, 太-17)
mmod(用-19, 顶-18)
conj(好-4, 用-19)
case(震动-22, 因为-21)
prep(轻-24, 震动-22)
advmod(轻-24, 也好-23)
conj(好-4, 轻-24)

dep(没有-2, 屏幕-1)
root(ROOT-0, 没有-2)
relcl(问题-6, 说-3)
mark(说-3, 的-4)
nn(问题-6, 气泡-5)
dobj(没有-2, 问题-6)
dep(没有-2, 可能-8)
nsubj(暖-15, 我-9)
cop(暖-15, 是-10)
case(广州-12, 在-11)
prep(暖-15, 广州-12)
advmod(暖-15, 比较-14)
relcl(原因-17, 暖-15)
mark(暖-15, 的-16)
dobj(可能-8, 原因-17)
dep(可能-8, 吧-18)

assmod(系统-3, moto-1)
case(moto-1, 的-2)
nsubj(省电-8, 系统-3)
dep(省电-8, 做-4)
dep(省电-8, 得-5)
advmod(省电-8, 好-6)
advmod(省电-8, 所以-7)
root(ROOT-0, 省电-8)

neg(照相-6, 没有-1)
nsubj(照相-6, 补光灯-2)
advmod(照相-6, 所以-3)
tmod(照相-6, 晚上-4)
advmod(照相-6, 没法-5)
dep(用-15, 照相-6)
dep(照相-6, 啦-7)
advmod(用-15, 不过-9)
advmod(用-15, 一般-10)
nsubj(用-15, 我-11)
advmod(用-15, 也-12)
neg(用-15, 不-13)
tmod(用-15, 晚上-14)
root(ROOT-0, 用-15)
dep(用-15, 的-16)

nn(系统-2, 安卓-1)
assmod(话-4, 系统-2)
case(系统-2, 的-3)
nsubj(情况-24, 话-4)
case(情况-24, 由于-5)
advmod(出现-13, 太-6)
nsubj(出现-13, 开源-7)
mmod(出现-13, 会-9)
case(使用-11, 在-10)
prep(出现-13, 使用-11)
case(使用-11, 中-12)
dep(慢-15, 出现-13)
dobj(出现-13, 反应-14)
nfincl(情况-24, 慢-15)
dep(慢-15, 卡顿-17)
dep(慢-15, 死机-19)
advmod(启-22, 重-21)
dep(慢-15, 启-22)
dep(慢-15, 等等-23)
root(ROOT-0, 情况-24)

assmod(手机-3, 苹果-1)
case(苹果-1, 的-2)
nsubj(给-10, 手机-3)
ba(给-10, 把-4)
nummod(资源-7, 大部分-5)
nn(资源-7, 内置-6)
nsubj(给-10, 资源-7)
advmod(给-10, 都-8)
mmod(给-10, 分配-9)
root(ROOT-0, 给-10)
asp(给-10, 了-11)
assmod(上面-15, 系统-12)
case(系统-12, 的-13)
nn(上面-15, 流畅度-14)
dobj(给-10, 上面-15)
advmod(流畅-29, 所以-17)
nn(运行-19, 用户-18)
dep(菜单-25, 运行-19)
nn(程序-22, 切换-21)
dep(菜单-25, 程序-22)
nn(菜单-25, 滑动-24)
nn(感觉-27, 菜单-25)
etc(菜单-25, 等等-26)
nsubj(流畅-29, 感觉-27)
advmod(流畅-29, 很-28)
conj(给-10, 流畅-29)

loc(搞好-12, 屏幕-1)
case(屏幕-1, 左右-2)
dep(搞好-12, 上-3)
clf(上-3, 角-4)
case(有-7, 按-5)
mmod(有-7, 下去-6)
prep(搞好-12, 有-7)
dobj(有-7, 响声-8)
dep(有-7, 估计-9)
cop(胶没-11, 是-10)
ccomp(估计-9, 胶没-11)
root(ROOT-0, 搞好-12)
advmod(使用-17, 不过-14)
neg(使用-17, 不-15)
mmod(使用-17, 影响-16)
conj(搞好-12, 使用-17)

nsubj(移动-3, 摄像头-1)
neg(移动-3, 没有-2)
root(ROOT-0, 移动-3)
case(焦-5, 对-4)
prep(移动-3, 焦-5)
advmod(拍-9, 所以-7)
advmod(拍-9, 根本-8)
conj(移动-3, 拍-9)
neg(近-12, 不-10)
dep(近-12, 了-11)
dobj(拍-9, 近-12)
mark(近-12, 的-13)
dep(移动-3, 像素-15)
amod(320w-19, 一般-16)
advmod(320w-19, 才-18)
range(像素-15, 320w-19)

advmod(加-3, 最-1)
advmod(加-3, 好-2)
root(ROOT-0, 加-3)
clf(壳子-5, 个-4)
dobj(加-3, 壳子-5)
