advmod(接-2, 有时-1)
mmod(氧化-31, 会-30)
conj(查-22, 氧化-31)
conj(氧化-4, 晕-33)

advmod(出现-2, 总是-1)
root(ROOT-0, 出现-2)
dobj(出现-2, 桌面-3)
advmod(启动-5, 无法-4)
conj(出现-2, 启动-5)
dep(出现-2, 导致-7)
dobj(导致-7, 系统-8)
dep(导致-7, 瘫痪-9)

nn(内存-3, 系统-1)
nn(内存-3, 运行-2)
nsubj(高-6, 内存-3)
mmod(高-6, 占用-4)
advmod(高-6, 太-5)
root(ROOT-0, 高-6)
conj(高-6, 估计-8)
cop(系统-14, 是-9)
case(高配版-11, 跟-10)
prep(做-12, 高配版-11)
relcl(系统-14, 做-12)
mark(做-12, 的-13)
ccomp(估计-8, 系统-14)
dep(高-6, 开机-16)
advmod(占-18, 就-17)
relcl(内存-22, 占-18)
asp(占-18, 了-19)
dep(占-18, 百分八十-20)
mark(占-18, 的-21)
dobj(开机-16, 内存-22)
advmod(不行-27, 怎么-24)
mmod(不行-27, 优化-25)
advmod(不行-27, 都-26)
conj(高-6, 不行-27)

nsubj(会-3, 电池-1)
advmod(会-3, 偶尔-2)
root(ROOT-0, 会-3)
dobj(会-3, 松-4)
dep(会-3, 导致-6)
dobj(导致-6, 手机-7)
dep(导致-6, 关机-8)

advmod(估计-4, 偶尔-1)
nsubj(估计-4, 死机-2)
root(ROOT-0, 估计-4)
cop(问题-8, 是-5)
nn(问题-8, ROM-6)
nn(问题-8, 兼容性-7)
ccomp(估计-4, 问题-8)
nsubj(好-13, 优化-10)
mark(优化-10, 的-11)
advmod(好-13, 不够-12)
conj(估计-4, 好-13)

nn(效果-2, 音质-1)
nsubj(棒-4, 效果-2)
advmod(棒-4, 很-3)
root(ROOT-0, 棒-4)
relcl(音效-9, 用-6)
mark(用-6, 的-7)
nn(音效-9, dts-8)
nsubj(酷-13, 音效-9)
dep(酷-13, 啊-10)
advmod(酷-13, 简直-12)
conj(棒-4, 酷-13)
mmod(不行-15, 到-14)
dep(酷-13, 不行-15)

nummod(流畅-9, iOS5-1)
case(4S-4, 在-2)
dep(4S-4, iPhone-3)
prep(运行-6, 4S-4)
case(4S-4, 上-5)
relcl(流畅-9, 运行-6)
advmod(运行-6, 非常-7)
mark(运行-6, 的-8)
nsubj(没有-12, 流畅-9)
advmod(没有-12, 丝毫-11)
root(ROOT-0, 没有-12)
assmod(感觉-15, 拖沓-13)
case(拖沓-13, 的-14)
dobj(没有-12, 感觉-15)
advmod(铺平-29, 而-17)
nn(性能-19, GPU-18)
assmod(提升-21, 性能-19)
case(性能-19, 的-20)
nsubj(铺平-29, 提升-21)
advmod(铺平-29, 则-22)
case(游戏-28, 为-23)
assmod(游戏-28, 后面-24)
case(后面-24, 的-25)
amod(游戏-28, 大型-26)
nummod(游戏-28, 3D-27)
prep(铺平-29, 游戏-28)
conj(没有-12, 铺平-29)
asp(铺平-29, 了-30)
dobj(铺平-29, 道路-31)
advmod(顺畅-34, 很-33)
conj(没有-12, 顺畅-34)

nsubj(过-3, 颜色-1)
advmod(过-3, 太-2)
root(ROOT-0, 过-3)
asp(过-3, 了-4)
dep(过-3, 使得-6)
det(画面-8, 整个-7)
nsubj(感觉-9, 画面-8)
ccomp(使得-6, 感觉-9)
ccomp(感觉-9, 比较-10)
advmod(比较-10, 暗-11)

case(处理器-11, 因为-1)
nummod(使用-3, 4S-2)
dep(处理器-11, 使用-3)
dep(处理器-11, 了-4)
dep(处理器-11, 和-5)
nummod(处理器-11, IPAD2-6)
relcl(处理器-11, 一样-7)
mark(一样-7, 的-8)
nummod(处理器-11, A5-9)
nn(处理器-11, 双核-10)
prep(增强-21, 处理器-11)
case(播放-15, 在-13)
nsubj(播放-15, 影音-14)
prep(增强-21, 播放-15)
case(播放-15, 上-16)
case(产品-20, 比-17)
ordmod(代-19, 第四-18)
clf(产品-20, 代-19)
prep(增强-21, 产品-20)
root(ROOT-0, 增强-21)
asp(增强-21, 了-22)
dep(增强-21, 很多-23)

case(小-17, 由于-1)
assmod(键盘-5, 原来-2)
case(原来-2, 的-3)
det(键盘-5, 全-4)
nsubjpass(升级版-12, 键盘-5)
auxpass(升级版-12, 被-6)
ccomp(升级版-12, 导航键-7)
rcomp(导航键-7, 占用-8)
nummod(空间-10, 不少-9)
nsubj(升级版-12, 空间-10)
advmod(升级版-12, 因此-11)
relcl(键-16, 升级版-12)
mark(升级版-12, 的-13)
nummod(键-16, Milestone2-14)
nn(键-16, 导航-15)
nsubj(小-17, 键-16)
prep(增大-31, 小-17)
asp(小-17, 了-18)
neg(小-17, 不-19)
dep(小-17, 少-20)
nsubj(增大-31, 换-22)
relcl(面积-29, 来-23)
mark(来-23, 的-24)
dep(每个-26, 就是-25)
det(面积-29, 每个-26)
amod(面积-29, 按键-27)
amod(面积-29, 平均-28)
dobj(换-22, 面积-29)
mark(换-22, 的-30)
root(ROOT-0, 增大-31)
nsubj(不错-36, 手感-33)
mmod(不错-36, 应该-34)
advmod(不错-36, 更-35)
dep(增大-31, 不错-36)
dep(不错-36, 了-37)

nsubj(有-2, 屏幕-1)
root(ROOT-0, 有-2)
dobj(有-2, 点-3)
conj(有-2, 小-4)
advmod(按-17, 才-6)
nsubj(导致-9, 3.2-7)
dep(按-17, 导致-9)
nsubj(小-12, 字体-10)
advmod(小-12, 比较-11)
ccomp(导致-9, 小-12)
loc(按-17, 按键-14)
case(按键-14, 时-15)
advmod(按-17, 容易-16)
conj(有-2, 按-17)
dobj(按-17, 错-18)

nn(限制-3, 硬件-1)
nn(限制-3, 水平-2)
nsubj(开-5, 限制-3)
advmod(开-5, 多-4)
root(ROOT-0, 开-5)
dep(迟钝-9, 程序-6)
case(程序-6, 后-7)
nn(迟钝-9, 反应-8)
dobj(开-5, 迟钝-9)
advmod(爱死机-14, 所以-11)
nsubj(爱死机-14, 手机-12)
advmod(爱死机-14, 老-13)
conj(开-5, 爱死机-14)
relcl(电脑-20, 开机-16)
case(我-18, 比-17)
prep(开机-16, 我-18)
mark(开机-16, 的-19)
nsubj(慢-22, 电脑-20)
advmod(慢-22, 还-21)
conj(开-5, 慢-22)
nsubj(打电话-27, 键盘-24)
neg(打电话-27, 不-25)
mmod(打电话-27, 能-26)
conj(开-5, 打电话-27)
dep(打电话-27, 听-29)
nn(声音-31, 音乐-30)
nsubj(小-33, 声音-31)
advmod(小-33, 太-32)
dep(打电话-27, 小-33)
dep(小-33, 了-34)
conj(开-5, 想-36)
ccomp(想-36, 退货-37)

nn(容量-2, 电池-1)
nsubj(小-3, 容量-2)
root(ROOT-0, 小-3)
advmod(玩-6, 一直-5)
relcl(话-8, 玩-6)
mark(玩-6, 的-7)
nsubj(快-11, 话-8)
nsubj(快-11, 耗电-10)
conj(小-3, 快-11)

case(方面-3, 关于-1)
nn(方面-3, 电池-2)
prep(上网-11, 方面-3)
nsubj(上网-11, 我-5)
advmod(上网-11, 平时-6)
advmod(上网-11, 一般-7)
advmod(上网-11, 都-8)
case(电脑-10, 用-9)
prep(上网-11, 电脑-10)
root(ROOT-0, 上网-11)
nummod(待机-14, 5233-13)
assmod(话-16, 待机-14)
case(待机-14, 的-15)
nsubj(5-17, 话-16)
conj(上网-11, 5-17)
nummod(天-20, 6-19)
nsubj(没有-22, 天-20)
advmod(没有-22, 完全-21)
conj(上网-11, 没有-22)
dobj(没有-22, 问题-23)

advmod(会-11, 虽说-1)
advmod(会-11, 只有-2)
nummod(毫安-4, 1000-3)
assmod(电池-6, 毫安-4)
case(毫安-4, 的-5)
nsubj(会-11, 电池-6)
advmod(会-11, 但-8)
case(CPU-10, 由于-9)
prep(会-11, CPU-10)
dep(长-29, 会-11)
dobj(会-11, 变频-12)
advmod(长-29, 因此-14)
nn(时间-16, 待机-15)
nsubj(长-29, 时间-16)
case(5230-18, 比-17)
prep(长-29, 5230-18)
nummod(电池-21, 5230-20)
assmod(1320-23, 电池-21)
case(电池-21, 的-22)
nummod(毫安-24, 1320-23)
dep(5230-18, 毫安-24)
nn(时间-27, 待机-26)
nsubj(长-29, 时间-27)
advmod(长-29, 还-28)
root(ROOT-0, 长-29)

root(ROOT-0, 看-1)
nummod(人-3, 很多-2)
nsubj(说-5, 人-3)
advmod(说-5, 都-4)
ccomp(看-1, 说-5)
nn(问题-7, 电池-6)
dobj(说-5, 问题-7)
nsubj(认同-11, 我-9)
neg(认同-11, 不-10)
conj(看-1, 认同-11)
nsubj(有-26, 电池-13)
neg(有-26, 不-14)
advmod(有-26, 够-15)
case(手机-25, 用-16)
det(造成-22, 那-17)
cop(造成-22, 是-18)
case(系统-21, 因为-19)
nn(系统-21, 安卓-20)
prep(造成-22, 系统-21)
conj(手机-25, 造成-22)
mark(造成-22, 的-23)
cc(手机-25, 和-24)
prep(有-26, 手机-25)
conj(看-1, 有-26)
det(关系-28, 什么-27)
dobj(有-26, 关系-28)

nsubj(快-4, 反应-1)
neg(快-4, 不-2)
advmod(快-4, 够-3)
root(ROOT-0, 快-4)
advmod()-32, 可能-6)
cop()-32, 是-7)
det(触屏-9, 全-8)
assmod(原因-11, 触屏-9)
case(触屏-9, 的-10)
nn()-32, 原因-11)
nummod(E63-14, (-12)
cc(E63-14, 和-13)
nummod()-32, E63-14)
case(少-19, 比-15)
mmod(少-19, 起来-16)
advmod(少-19, 慢-17)
neg(少-19, 不-18)
prep(E63-22, 少-19)
advmod(E63-22, 但-21)
relcl(原因-11, E63-22)
relcl()-32, E63-22)
mark(E63-22, 的-23)
nummod(5230-26, 处理器-24)
cc(5230-26, 比-25)
assmod()-32, 5230-26)
case(5230-26, 的-27)
advmod(慢-29, 还要-28)
relcl(原因-11, 慢-29)
relcl()-32, 慢-29)
advmod(慢-29, 一点-30)
mark(慢-29, 的-31)
conj(快-4, )-32)

advmod(能-13, 再-1)
advmod(能-13, 就是-2)
nn(阻屏-4, 电-3)
nsubj(能-13, 阻屏-4)
case(屏保-11, 因为-6)
case(触碰-9, 用-7)
nn(触碰-9, 指甲-8)
prep(屏保-11, 触碰-9)
advmod(屏保-11, 所以-10)
prep(能-13, 屏保-11)
neg(能-13, 不-12)
root(ROOT-0, 能-13)
case(耐用-17, 像-14)
nn(耐用-17, 电容屏-15)
amod(耐用-17, 那样-16)
prep(能-13, 耐用-17)
advmod(换-25, 大约-19)
nummod(个-21, 两-20)
clf(月-22, 个-21)
loc(换-25, 月-22)
case(月-22, 左右-23)
advmod(换-25, 一-24)
conj(能-13, 换-25)

root(ROOT-0, 用-1)
dep(年-4, 个-2)
nummod(年-4, 一-3)
range(用-1, 年-4)
conj(用-1, 多-5)
asp(多-5, 了-6)
dep(出现-10, 最近-8)
advmod(出现-10, 老是-9)
conj(用-1, 出现-10)
nn(现象-12, 花屏-11)
dobj(出现-10, 现象-12)
loc(知道-19, 上网-14)
rcomp(上网-14, 查-15)
asp(上网-14, 了-16)
case(上网-14, 下-17)
advmod(知道-19, 才-18)
conj(用-1, 知道-19)
cop(问题-22, 是-20)
nn(问题-22, 硬件-21)
ccomp(知道-19, 问题-22)
conj(用-1, 貌似-24)
cop(出现-32, 是-25)
case(低-29, 因为-26)
nsubj(低-29, 温度-27)
advmod(低-29, 太-28)
prep(出现-32, 低-29)
asp(低-29, 了-30)
advmod(出现-32, 容易-31)
ccomp(貌似-24, 出现-32)
dobj(出现-32, 花屏-33)

nsubj(耐用-5, 电池-1)
neg(耐用-5, 不-2)
cop(耐用-5, 是-3)
advmod(耐用-5, 很-4)
root(ROOT-0, 耐用-5)
advmod(缘故-13, 可能-7)
cop(缘故-13, 是-8)
case(屏幕-10, 因为-9)
prep(大-11, 屏幕-10)
relcl(缘故-13, 大-11)
mark(大-11, 的-12)
conj(耐用-5, 缘故-13)
advmod(可以-18, 如果-15)
nsubj(可以-18, 纯待机-16)
advmod(可以-18, 还-17)
dep(要-28, 可以-18)
advmod(天-26, 如果-20)
nsubj(天-26, 玩机-21)
advmod(天-26, 差不多-22)
nummod(天-26, 一-23)
cc(天-26, 到-24)
nummod(天-26, 两-25)
dep(要-28, 天-26)
advmod(要-28, 就-27)
conj(耐用-5, 要-28)
nummod(充-30, 一-29)
dobj(要-28, 充-30)

case(没有-2, 由于-1)
prep(惨淡点-31, 没有-2)
asp(没有-2, 了-3)
assmod(感光器-6, 5800-4)
case(5800-4, 的-5)
dobj(没有-2, 感光器-6)
advmod(到-9, 每次-8)
conj(没有-2, 到-9)
asp(到-9, 了-10)
dobj(到-9, 阳光-11)
case(没有-2, 下-12)
xsubj(得-15, 我-13)
nsubj(惨淡点-31, 我-13)
advmod(得-15, 都-14)
dep(惨淡点-31, 得-15)
amod(屏幕-27, 手动-16)
ba(最高-21, 把-17)
nn(调-19, 亮度-18)
nsubj(最高-21, 调-19)
mmod(最高-21, 到-20)
relcl(屏幕-27, 最高-21)
advmod(让-24, 一边-23)
dep(最高-21, 让-24)
ccomp(让-24, 惨淡-25)
mark(最高-21, 的-26)
dobj(得-15, 屏幕-27)
advmod(惨淡点-31, 稍微-28)
neg(惨淡点-31, 不-29)
advmod(惨淡点-31, 那么-30)
root(ROOT-0, 惨淡点-31)
dep(惨淡点-31, 哈哈-33)

case(触摸屏-3, 由于-1)
cop(触摸屏-3, 是-2)
prep(到-15, 触摸屏-3)
conj(触摸屏-3, 没有-4)
dobj(没有-4, 快捷键-5)
advmod(用-8, 刚-7)
conj(没有-4, 用-8)
case(触摸屏-3, 时-9)
nummod(功能-11, 很多-10)
nsubj(到-15, 功能-11)
advmod(到-15, 都-12)
mmod(到-15, 找-13)
neg(到-15, 不-14)
root(ROOT-0, 到-15)

dep(有-2, 屏幕-1)
root(ROOT-0, 有-2)
dobj(有-2, 问题-3)
nsubj(通病-8, 这-5)
cop(通病-8, 是-6)
nummod(通病-8, 一个-7)
conj(有-2, 通病-8)
cc(通病-8, 并-10)
neg(影响-12, 不-11)
conj(通病-8, 影响-12)
dobj(影响-12, 使用-13)
case(涂层-18, 由于-15)
nn(涂层-18, 内部-16)
amod(涂层-18, 反光-17)
nsubj(均匀-21, 涂层-18)
case(涂层-18, 的-19)
neg(均匀-21, 不-20)
conj(有-2, 均匀-21)

nsubj(有-2, 屏幕-1)
root(ROOT-0, 有-2)
dobj(有-2, 点-3)
conj(有-2, 小-4)
nn(周边-7, 屏幕-6)
nsubj(进脏-9, 周边-7)
advmod(进脏-9, 容易-8)
conj(有-2, 进脏-9)
nsubj(不易-12, 东西-10)
advmod(不易-12, 还-11)
nfincl(清理-13, 不易-12)
dobj(进脏-9, 清理-13)
case(温控屏-17, 由于-15)
cop(温控屏-17, 是-16)
prep(滚动-27, 温控屏-17)
case(无-23, 在-19)
tmod(无-23, 夏天-20)
mmod(无-23, 会-21)
mmod(无-23, 出现-22)
prep(滚动-27, 无-23)
dobj(无-23, 操作-24)
dep(无-23, 向-25)
case(无-23, 上-26)
dep(进脏-9, 滚动-27)

nsubj(清晰-3, 屏幕-1)
advmod(清晰-3, 虽然-2)
root(ROOT-0, 清晰-3)
advmod(高-15, 但是-5)
case(材质-9, 由于-6)
cop(材质-9, 是-7)
nn(材质-9, TFT-8)
prep(高-15, 材质-9)
nsubj(高-15, 灵敏度-11)
neg(高-15, 不-12)
cop(高-15, 是-13)
advmod(高-15, 很-14)
conj(清晰-3, 高-15)
mmod(切-18, 玩玩-17)
dep(累-23, 切-18)
nn(游戏-21, 西瓜-19)
nn(游戏-21, 这种-20)
dobj(切-18, 游戏-21)
advmod(累-23, 有点-22)
conj(清晰-3, 累-23)

nsubj(排列-7, 屏幕-1)
case(P-6, 因为-2)
cop(可恶-4, 是-3)
relcl(P-6, 可恶-4)
mark(可恶-4, 的-5)
prep(排列-7, P-6)
root(ROOT-0, 排列-7)
mmod(看到-10, 会-9)
dep(排列-7, 看到-10)
nummod(颗粒感-12, 一些-11)
dobj(看到-10, 颗粒感-12)
nsubj(贴-16, 这个-14)
mmod(贴-16, 可以-15)
conj(排列-7, 贴-16)
clf(磨砂膜-18, 个-17)
dobj(贴-16, 磨砂膜-18)
dep(贴-16, 减轻-19)
range(减轻-19, 很多-20)

nsubj(会-18, 缺点-1)
cop(会-18, 是-2)
case(时候-15, 因为-4)
relcl(时候-15, 有-5)
nn(感应器-7, 光-6)
dobj(有-5, 感应器-7)
advmod(稳定-13, 所以-9)
case(光线-11, 在-10)
prep(稳定-13, 光线-11)
neg(稳定-13, 不-12)
conj(有-5, 稳定-13)
mark(有-5, 的-14)
prep(会-18, 时候-15)
nsubj(会-18, 屏幕-17)
root(ROOT-0, 会-18)
dobj(会-18, 忽闪忽闪-19)
mark(忽闪忽闪-19, 的-20)
advmod(小碰-27, 其次-22)
cop(小碰-27, 是-23)
nn(小碰-27, 外壳-24)
nn(小碰-27, 经不住-25)
nn(小碰-27, 小磕-26)
conj(会-18, 小碰-27)
nsubj(有-31, 手机-29)
advmod(有-31, 已经-30)
conj(会-18, 有-31)
clf(情况-37, 点-32)
amod(情况-37, 小-33)
relcl(情况-37, 掉-34)
dobj(掉-34, 漆-35)
mark(掉-34, 的-36)
dobj(有-31, 情况-37)

nummod(眼-2, 第一-1)
nsubj(看到-3, 眼-2)
xsubj(想到-5, 眼-2)
root(ROOT-0, 看到-3)
advmod(想到-5, 就-4)
ccomp(看到-3, 想到-5)
asp(想到-5, 了-6)
amod(机型-8, 经典-7)
dobj(想到-5, 机型-8)
range(想到-5, Bold9000-9)
assmod(球-14, 原来-11)
case(原来-11, 的-12)
nn(球-14, 轨迹-13)
nsubj(变成-15, 球-14)
conj(看到-3, 变成-15)
asp(变成-15, 了-16)
nn(RIM-18, 现在-17)
tmod(钟爱-20, RIM-18)
advmod(钟爱-20, 最-19)
relcl(触摸板-23, 钟爱-20)
mark(钟爱-20, 的-21)
nn(触摸板-23, 光学-22)
dobj(变成-15, 触摸板-23)
conj(变成-15, 使得-25)
assmod(寿命-29, 导航键-26)
case(导航键-26, 的-27)
nn(寿命-29, 使用-28)
dobj(使得-25, 寿命-29)
dep(使得-25, 延长-30)
range(延长-30, 许多-31)

nn(能力-2, 续航-1)
nsubj(一般-3, 能力-2)
root(ROOT-0, 一般-3)
advmod(缘故-12, 可能-5)
cop(缘故-12, 是-6)
case(屏幕-8, 因为-7)
prep(大-10, 屏幕-8)
advmod(大-10, 太-9)
relcl(缘故-12, 大-10)
mark(大-10, 的-11)
conj(一般-3, 缘故-12)
nsubj(大-16, 用电量-14)
advmod(大-16, 很-15)
conj(一般-3, 大-16)

nsubj(耐用-4, 电池-1)
neg(耐用-4, 不-2)
advmod(耐用-4, 太-3)
root(ROOT-0, 耐用-4)
advmod(原因-11, 可能-6)
cop(原因-11, 是-7)
nsubj(大-9, 屏幕-8)
relcl(原因-11, 大-9)
mark(大-9, 的-10)
dep(耐用-4, 原因-11)
dep(原因-11, 吧-12)

nn(部分-2, 相机-1)
nn(壳体-4, 部分-2)
amod(壳体-4, 突出-3)
nsubj(使得-6, 壳体-4)
root(ROOT-0, 使得-6)
det(部分-8, 这个-7)
nsubj(磨损-11, 部分-8)
advmod(磨损-11, 极-9)
advmod(磨损-11, 易-10)
ccomp(使得-6, 磨损-11)

root(ROOT-0, 塑料感-1)
conj(电池-15, 强-2)
dep(电池-15, 照相-4)
neg(无-8, 不-5)
dep(无-8, 给力-6)
prnmod(电池-15, 无-8)
assmod(关系-11, 闪光灯-9)
case(闪光灯-9, 的-10)
dobj(无-8, 关系-11)
dep(无-8, 吧-12)
dobj(塑料感-1, 电池-15)
advmod(毫安-18, 才-16)
nummod(毫安-18, 1000-17)
prnmod(电池-15, 毫安-18)
advmod(小-21, 太-20)
conj(塑料感-1, 小-21)
asp(小-21, 了-22)

nn(故障-2, 照相机-1)
nsubj(出现-3, 故障-2)
root(ROOT-0, 出现-3)
advmod(次-6, 那么-4)
nummod(次-6, 几-5)
range(出现-3, 次-6)
advmod(好-11, 重-8)
mmod(好-11, 启-9)
advmod(好-11, 就-10)
dep(出现-3, 好-11)
dep(好-11, 了-12)
advmod(原因-18, 可能-14)
cop(原因-18, 是-15)
nn(原因-18, 系统-16)
nn(原因-18, 版本-17)
dep(出现-3, 原因-18)
dep(原因-18, 吧-19)

loc(有-3, 照相-1)
case(照相-1, 时-2)
root(ROOT-0, 有-3)
nn(现象-5, 卡顿-4)
dobj(有-3, 现象-5)
case(薄-10, 由于-7)
nsubj(薄-10, 机身-8)
advmod(薄-10, 太-9)
prep(严重-14, 薄-10)
nn(发热-13, 机器-12)
nsubj(严重-14, 发热-13)
conj(有-3, 严重-14)
advmod(耐用-19, 而且-16)
nsubj(耐用-19, 电池-17)
neg(耐用-19, 不-18)
conj(有-3, 耐用-19)

advmod(说-2, 然后-1)
root(ROOT-0, 说-2)
dobj(说-2, 摄像头-3)
nummod(iPhone4-9, defy-5)
nummod(iPhone4-9, 9103-7)
dep(是-10, iPhone4-9)
conj(说-2, 是-10)
dep(是-10, 500万-11)
det(像素-21, 其他-13)
relcl(像素-21, 是-14)
dep(是-14, 800万-15)
conj(是-14, 感觉-17)
nummod(摄像头-19, 很多-18)
dobj(感觉-17, 摄像头-19)
mark(是-14, 的-20)
nsubj(是-23, 像素-21)
advmod(是-23, 都-22)
conj(说-2, 是-23)
nn(运算-25, 插值-24)
nsubj(出来-26, 运算-25)
dep(是-23, 出来-26)
dep(出来-26, 的-27)
advmod(明显-33, 所以-29)
nn(差距-32, 拍照-30)
nn(差距-32, 效果-31)
nsubj(明显-33, 差距-32)
conj(说-2, 明显-33)

dep(摄像头-2, 双-1)
dep(不错-12, 摄像头-2)
nummod(130w-6, 800W-4)
cc(130w-6, 和-5)
nsubj(不错-12, 130w-6)
case(高端机-8, 在-7)
prep(不错-12, 高端机-8)
case(高端机-8, 中-9)
advmod(不错-12, 也-10)
mmod(不错-12, 算-11)
root(ROOT-0, 不错-12)
dep(不错-12, 了-13)

nsubj(感光-2, 传感器-1)
dep(不错-10, 感光-2)
nsubj(强-4, 能力-3)
relcl(原因-6, 强-4)
mark(强-4, 的-5)
dobj(感光-2, 原因-6)
dep(感光-2, 吧-7)
nsubj(不错-10, 拍照-9)
root(ROOT-0, 不错-10)
conj(不错-10, 有-12)
det(摄像头-15, 前-13)
relcl(摄像头-15, 置-14)
dobj(有-12, 摄像头-15)
conj(不错-10, 方便-17)
nn(通话-19, 视频-18)
dobj(方便-17, 通话-19)

nsubj(小-3, 声音-1)
advmod(小-3, 太-2)
root(ROOT-0, 小-3)
nsubj(没-7, 震动-5)
advmod(没-7, 也-6)
conj(小-3, 没-7)
det(感觉-9, 啥-8)
dobj(没-7, 感觉-9)
advmod(接-14, 所以-11)
advmod(接-14, 经常-12)
mmod(接-14, 漏-13)
conj(小-3, 接-14)
dobj(接-14, 电话-15)

nn(声音-2, 外放-1)
nsubj(小-4, 声音-2)
advmod(小-4, 偏-3)
root(ROOT-0, 小-4)
advmod(忍-29, 可能-6)
case(没有-8, 因为-7)
prep(忍-29, 没有-8)
asp(没有-8, 了-9)
nn(芯片-11, 音乐-10)
dobj(没有-8, 芯片-11)
cc(没有-8, 而且-13)
nsubj(了-20, 喇叭-14)
advmod(5800-16, 比较-15)
dep(了-20, 5800-16)
advmod(了-20, 也-17)
auxpass(了-20, 被-18)
nsubj(了-20, 阉割-19)
dep(没有-8, 了-20)
range(了-20, 一个-21)
case(简化-25, 因为-23)
conj(简化-25, 是-24)
cop(简化-25, 是-24)
prep(忍-29, 简化-25)
dobj(简化-25, 机型-26)
advmod(忍-29, 所以-28)
conj(小-4, 忍-29)
dep(忍-29, 啦-30)

nsubj(一般-3, 音质-1)
advmod(一般-3, 很-2)
root(ROOT-0, 一般-3)
case(XM-8, 因为-5)
neg(XM-8, 不-6)
cop(XM-8, 是-7)
prep(一般-3, XM-8)

nn(音质-2, 外方-1)
nsubj(吵闹-4, 音质-2)
advmod(吵闹-4, 有点-3)
root(ROOT-0, 吵闹-4)
dep(吵闹-4, 没有-6)
assmod(感觉-9, 坏饶-7)
case(坏饶-7, 的-8)
dobj(没有-6, 感觉-9)
advmod(导致-16, 可能-11)
cop(导致-16, 是-12)
case(扬声器-15, 因为-13)
nummod(扬声器-15, 一个-14)
prep(导致-16, 扬声器-15)
conj(吵闹-4, 导致-16)

dep(森海塞尔-8, 耳机-1)
nsubj(用-4, 我-3)
nsubj(森海塞尔-8, 用-4)
mark(用-4, 的-5)
cop(森海塞尔-8, 是-6)
nn(森海塞尔-8, 自己-7)
root(ROOT-0, 森海塞尔-8)
advmod(觉得-11, 所以-10)
conj(森海塞尔-8, 觉得-11)
advmod(不错-13, 音质-12)
ccomp(觉得-11, 不错-13)

nsubj(可以-2, 网速-1)
root(ROOT-0, 可以-2)
case(核-7, 因为-4)
cop(核-7, 是-5)
nummod(核-7, 双-6)
prep(多-13, 核-7)
mark(核-7, 的-8)
case(快-12, 比-9)
assmod(快-12, 一般-10)
case(一般-10, 的-11)
prep(多-13, 快-12)
dep(可以-2, 多-13)
dep(多-13, 了-14)
nsubj(行-18, 音质-16)
advmod(行-18, 也-17)
dep(可以-2, 行-18)
loc(可以-23, 总体-20)
case(总体-20, 来说-21)
advmod(可以-23, 还是-22)
dep(可以-2, 可以-23)
dep(可以-23, 啦-24)

advmod(提-2, 不得不-1)
relcl(音质-4, 提-2)
mark(提-2, 的-3)
nsubj(可以-7, 音质-4)
advmod(可以-7, 完全-6)
root(ROOT-0, 可以-7)
